date,steps
07/09/2020 08:24,17
07/09/2020 08:25,14
07/09/2020 08:28,26
07/09/2020 08:29,18
07/09/2020 08:31,45
07/09/2020 08:38,16
07/09/2020 08:40,27
07/09/2020 08:41,30
07/09/2020 08:45,121
07/09/2020 08:46,14
07/09/2020 08:57,13
07/09/2020 09:02,10
07/09/2020 09:20,13
07/09/2020 09:30,30
07/09/2020 09:31,30
07/09/2020 09:32,61
07/09/2020 09:33,127
07/09/2020 09:38,126
07/09/2020 09:39,70
07/09/2020 09:40,123
07/09/2020 09:41,69
07/09/2020 09:42,10
07/09/2020 09:43,103
07/09/2020 09:44,125
07/09/2020 09:45,127
07/09/2020 09:46,79
07/09/2020 09:47,81
07/09/2020 09:48,32
07/09/2020 09:49,23
07/09/2020 10:02,12
07/09/2020 10:03,55
07/09/2020 10:04,2
07/09/2020 10:58,20
07/09/2020 10:59,16
07/09/2020 11:14,11
07/09/2020 11:32,16
07/09/2020 13:29,21
07/09/2020 13:31,29
07/09/2020 15:49,22
07/09/2020 18:55,14
07/09/2020 18:56,35
07/09/2020 18:58,42
07/09/2020 18:59,17
07/09/2020 19:01,21
07/09/2020 19:02,114
07/09/2020 19:03,117
07/09/2020 19:06,127
07/09/2020 19:09,69
07/09/2020 19:12,110
07/09/2020 19:13,114
07/09/2020 19:14,74
07/09/2020 19:15,91
07/09/2020 19:16,99
07/09/2020 19:17,11
07/09/2020 19:52,67
07/09/2020 19:53,122
07/09/2020 19:54,101
07/09/2020 19:55,114
07/09/2020 19:56,115
07/09/2020 19:57,99
07/09/2020 19:58,49
07/09/2020 19:59,45
07/09/2020 20:05,12
07/09/2020 20:13,10
07/09/2020 20:19,13
07/09/2020 20:24,47
07/09/2020 20:27,18
07/09/2020 20:28,21
07/09/2020 20:29,86
07/09/2020 20:30,11
07/09/2020 20:33,36
07/09/2020 20:35,34
07/09/2020 20:36,65
07/09/2020 20:37,25
07/09/2020 20:38,34
07/09/2020 20:39,58
07/09/2020 20:40,53
07/09/2020 20:41,33
07/09/2020 20:42,39
07/09/2020 20:46,17
07/09/2020 20:47,12
07/09/2020 20:48,11
07/09/2020 20:50,16
07/09/2020 20:51,4
07/09/2020 20:52,27
07/09/2020 20:58,15
07/09/2020 20:59,24
07/09/2020 21:00,94
07/09/2020 21:01,73
07/09/2020 21:02,76
07/09/2020 21:03,31
07/09/2020 21:04,10
07/09/2020 21:05,25
07/09/2020 21:06,16
07/09/2020 21:07,26
07/09/2020 21:09,14
07/09/2020 21:19,17
07/09/2020 21:20,18
07/09/2020 21:21,75
07/09/2020 21:29,89
07/09/2020 21:30,31
07/09/2020 21:31,32
07/09/2020 21:36,67
07/09/2020 21:37,5
07/09/2020 21:42,11
07/09/2020 21:43,25
07/09/2020 21:45,96
07/09/2020 21:46,21
07/09/2020 21:47,106
07/09/2020 21:48,115
07/09/2020 21:49,13
07/09/2020 21:50,12
07/09/2020 21:51,107
07/09/2020 21:52,12
07/09/2020 21:53,14
07/09/2020 21:54,21
07/09/2020 21:55,80
07/09/2020 21:56,124
07/09/2020 21:57,75
07/09/2020 21:58,73
07/09/2020 21:59,121
07/09/2020 22:00,105
07/09/2020 22:01,117
07/09/2020 22:02,101
07/09/2020 22:03,126
07/09/2020 22:04,124
07/09/2020 22:05,125
07/09/2020 22:06,119
07/09/2020 22:07,109
07/09/2020 22:08,124
07/09/2020 22:09,123
07/09/2020 22:10,122
07/09/2020 22:11,122
07/09/2020 22:12,121
07/09/2020 22:13,119
07/09/2020 22:14,116
07/09/2020 22:15,53
07/09/2020 22:16,126
07/09/2020 22:17,126
07/09/2020 22:18,105
07/09/2020 22:22,26
07/09/2020 22:34,15
07/09/2020 22:35,37
07/09/2020 22:36,120
07/09/2020 22:37,123
07/09/2020 22:38,126
07/09/2020 22:39,113
07/09/2020 22:40,23
07/09/2020 22:41,41
07/09/2020 22:42,12
07/09/2020 22:44,37
07/09/2020 23:10,10
07/10/2020 06:31,12
07/10/2020 06:33,14
07/10/2020 06:37,25
07/10/2020 06:38,25
07/10/2020 06:39,19
07/10/2020 06:40,47
07/10/2020 06:41,104
07/10/2020 06:42,51
07/10/2020 06:43,60
07/10/2020 06:44,47
07/10/2020 06:45,96
07/10/2020 06:46,103
07/10/2020 06:47,78
07/10/2020 06:48,119
07/10/2020 06:49,110
07/10/2020 06:50,36
07/10/2020 06:51,112
07/10/2020 06:52,45
07/10/2020 06:53,95
07/10/2020 06:54,74
07/10/2020 06:55,60
07/10/2020 06:56,60
07/10/2020 06:57,45
07/10/2020 06:58,34
07/10/2020 06:59,78
07/10/2020 07:00,57
07/10/2020 07:01,66
07/10/2020 07:02,34
07/10/2020 07:03,11
07/10/2020 07:06,54
07/10/2020 07:09,42
07/10/2020 07:10,30
07/10/2020 07:11,31
07/10/2020 07:19,13
07/10/2020 07:29,10
07/10/2020 07:51,15
07/10/2020 07:53,14
07/10/2020 07:54,10
07/10/2020 07:55,11
07/10/2020 07:56,11
07/10/2020 08:18,48
07/10/2020 08:21,35
07/10/2020 08:22,51
