Rk,Player,Pos,Age,Tm,Points,Rebounds,Assists,Field Goal,3-Point FG
246,Pat Connaughton,SG,27,MIL,4.9,4.3,1.6,45.3,31.1
156,Jarrett Culver,SG,20,MIN,9.1,3.4,1.9,38.5,27.3
168,Josh Okogie,SG,21,MIN,8.6,4.3,1.5,41.1,25.4
197,Gorgui Dieng,C,30,MIN,7.4,5.6,1.3,44.8,38.3
12,Brandon Ingram,PF,22,NOP,24.9,6.4,4.2,47.3,40
33,Jrue Holiday,SG,29,NOP,19.5,4.7,6.4,43.9,34.9
68,J.J. Redick,SG,35,NOP,15.4,2.7,2,45.5,45.9
105,Lonzo Ball,PG,22,NOP,11.9,6.1,6.7,39.8,36.1
125,Josh Hart,SF,24,NOP,10.6,6.4,1.5,41.8,35.4
141,E'Twaun Moore,SG,30,NOP,9.8,2.6,1.6,42.7,37.2
183,Jaxson Hayes,C,19,NOP,8,4.3,0.9,65.8,25
222,Nicolò Melli,C,29,NOP,6,2.6,1.1,45.7,38.1
234,Frank Jackson,PG,21,NOP,5.7,1.3,0.7,39.7,29.6
242,Nickeil Alexander-Walker,SG,21,NOP,5.3,2,1.9,34.2,34.2
31,Marcus Morris,SF,30,NYK,19.6,5.4,1.4,44.2,43.9
39,Julius Randle,PF,25,NYK,19,9.4,3.3,45.2,26.6
81,RJ Barrett,SG,19,NYK,13.8,5.1,2.5,39.1,32.7
152,Bobby Portis,C,24,NYK,9.4,5.2,1.5,43.2,34.9
160,Mitchell Robinson,C,21,NYK,9,6.6,0.6,72.3,0
207,Damyean Dotson,SG,25,NYK,6.9,1.8,1.2,42.5,36
209,Kevin Knox,SF,20,NYK,6.9,3,1,36.9,32.6
225,Taj Gibson,C,34,NYK,5.9,4.3,0.9,56.9,27.3
230,Frank Ntilikina,PG,21,NYK,5.8,2.2,2.9,38.5,31.8
32,Shai Gilgeous-Alexander,SG,21,OKC,19.5,6.2,3.2,46.2,33.7
34,Dennis Schröder,PG,26,OKC,19.3,3.9,4.1,47.7,38.7
38,Danilo Gallinari,PF,31,OKC,19.1,5.7,2.3,43.9,40.5
56,Chris Paul,PG,34,OKC,17.1,5,6.6,47.9,35.4
123,Steven Adams,C,26,OKC,10.8,9.2,2.6,60,0
178,Nerlens Noel,C,25,OKC,8.2,5.3,1.2,68.4,33.3
235,Abdel Nader,SF,26,OKC,5.7,1.4,0.7,46.5,35.8
251,Terrance Ferguson,SF,21,OKC,4.8,1.7,0.9,39.1,31.5
256,Darius Bazley,PF,19,OKC,4.5,3.8,0.6,38.2,30
41,Nikola Vučević,C,29,ORL,18.8,10.9,3.5,45.5,34.2
43,Evan Fournier,SG,27,ORL,18.6,2.7,3.2,46,40.5
82,Aaron Gordon,PF,24,ORL,13.7,7.3,3,41.9,29.3
85,Terrence Ross,SG,28,ORL,13.4,3.1,1.1,38.9,32.2
109,Markelle Fultz,PG,21,ORL,11.7,3.5,4.8,46.1,26.9
124,D.J. Augustin,PG,32,ORL,10.7,2.4,4.7,39.3,34.6
240,Mo Bamba,C,21,ORL,5.4,5,0.6,46.6,33.3
247,Wesley Iwundu,SF,25,ORL,4.9,2.5,1,35.9,30
266,Khem Birch,C,27,ORL,3.9,4.8,0.9,48.1,0
17,Joel Embiid,C,25,PHI,22.7,12,3.2,46.6,33.3
35,Tobias Harris,PF,27,PHI,19.2,6.7,3,47.3,36.3
58,Ben Simmons,PG,23,PHI,16.7,7.8,8.3,58.8,33.3
76,Josh Richardson,SG,26,PHI,14.7,3.3,3.3,43.4,33.2
96,Al Horford,C,33,PHI,12.3,6.7,3.9,44.3,32.9
154,Furkan Korkmaz,SG,22,PHI,9.3,2.2,1,43.1,39.1
