county,county_code,state,rate
Wise,497,Texas,6.5
Zavala,507,Texas,14.1
Davis,011,Utah,4.1
White,185,Tennessee,7.1
Wilson,189,Tennessee,6.3
Archer,009,Texas,5.3
Armstrong,011,Texas,4.3
Bastrop,021,Texas,6
Blanco,031,Texas,3.8
Brooks,047,Texas,10.7
Burnet,053,Texas,4.7
Camp,063,Texas,7.4
Castro,069,Texas,3.6
Cochran,079,Texas,7.1
Concho,095,Texas,4.5
Coryell,099,Texas,6.6
Crane,103,Texas,13.6
Dawson,115,Texas,8.7
DeWitt,123,Texas,6
Dimmit,127,Texas,6.4
Edwards,137,Texas,3.5
Fayette,149,Texas,4.7
Franklin,159,Texas,5.3
Garza,169,Texas,6.8
Gonzales,177,Texas,5.4
Gray,179,Texas,8.1
Grimes,185,Texas,8
Hall,191,Texas,5.8
Hansford,195,Texas,3.5
Hill,217,Texas,6.3
Howard,227,Texas,8.1
Hutchinson,233,Texas,7.2
Jim Hogg,247,Texas,9.5
Johnson,251,Texas,6.5
Kent,263,Texas,3.9
Kerr,265,Texas,5.9
Knox,275,Texas,5.6
La Salle,283,Texas,6.8
Live Oak,297,Texas,7.5
Lubbock,303,Texas,5.7
McLennan,309,Texas,6.2
Mason,319,Texas,5.6
Midland,329,Texas,8.1
Montgomery,339,Texas,7.5
Navarro,349,Texas,6.2
Nolan,353,Texas,5.3
Montgomery,121,Virginia,4.8
Nelson,125,Virginia,5.6
Patrick,141,Virginia,6.9
Powhatan,145,Virginia,4.8
Pulaski,155,Virginia,7.9
Rappahannock,157,Virginia,4.5
Smyth,173,Virginia,6.4
Warren,187,Virginia,5.8
Wythe,197,Virginia,7.7
Alexandria,510,Virginia,0
Buena Vista,530,Virginia,0
Charlottesville,540,Virginia,0
Emporia,595,Virginia,0
Harrisonburg,660,Virginia,0
Hopewell,670,Virginia,0
Richmond,760,Virginia,4.9
Salem,775,Virginia,0
Waynesboro,820,Virginia,0
Columbia,013,Washington,7.3
Franklin,021,Washington,9
Door,029,Wisconsin,6.8
Dunn,033,Wisconsin,5.5
Fond du Lac,039,Wisconsin,5.9
Green,045,Wisconsin,4.8
La Crosse,063,Wisconsin,5.4
Lincoln,069,Wisconsin,5.9
Marathon,073,Wisconsin,5
Monroe,081,Wisconsin,5.5
Polk,095,Wisconsin,7.2
Richland,103,Wisconsin,5.1
Shawano,115,Wisconsin,6.4
Washburn,129,Wisconsin,6.9
Wood,141,Wisconsin,6.7
Natrona,025,Wyoming,7.8
Platte,031,Wyoming,5
Sheridan,033,Wyoming,4.9
Weston,045,Wyoming,3.9
Lewis,041,Washington,9.4
Mason,045,Washington,9.8
Stevens,065,Washington,9.4
Barbour,001,West Virginia,8.3
Braxton,007,West Virginia,10.4
Calhoun,013,West Virginia,16.1
Gilmer,021,West Virginia,10.1
Kanawha,039,West Virginia,8.9
Marion,049,West Virginia,8.7
Monongalia,061,West Virginia,6.3
Putnam,079,West Virginia,7.4
Summers,089,West Virginia,7.8
Webster,101,West Virginia,9.4
Ashland,003,Wisconsin,8.5
Barron,005,Wisconsin,6.1
Bayfield,007,Wisconsin,9.3
Chippewa,017,Wisconsin,6.2
Dane,025,Wisconsin,4.8
Morgan,029,Utah,3.3
Piute,031,Utah,6.3
Salt Lake,035,Utah,5.1
